MIN=0	0	0	0	0	0	0
MAX=600	100000	511	511	1000	2000	100
SCALE=600	5	100	500	500	500	50
DEC=0	0	0	1	0	0	0
DEF="Time" t / s	"Events" N	"Channel" n	"Energy" E / keV	"Rate" R / 1/s	"Voltage" U / V	"Dead time" t / %
0	16	0	0		757.028645833333	
1.001	568	1	1	2381.72160866176	703.09375	16.6720512606323
2.001	4841	2	2	3016.13135417	756.640625	21.11291947919
3.001	13797	3	3	3088.93729457292	743.059895833333	21.6225610620104
4.001	18143	4	4	2590.83897750623	732.1953125	18.1358728425436
5.001	15091	5	5	3050.76726796789	748.4921875	21.3553708757753
6	11292	6	6	2846.26139794029	741.895833333333	19.923829785582
7.001	10123	7	7	3037.27266129254	721.71875	21.2609086290478
8.001	10341	8	8	2866.51224573831	699.213541666667	20.0655857201682
9	10993	9	9	3042.01076911839	744.611979166667	21.2940753838287
10.001	12263	10	10	3212.27786203507	737.239583333333	22.4859450342455
11	14485	11	11	3014.44410950621	724.434895833333	21.1011087665435
12.001	15196	12	12	2988.24807569044	735.299479166667	20.917736529833
13	14524	13	13	3056.27814817742	741.5078125	21.393947037242
14	13462	14	14	3038.572174935	721.71875	21.270005224545
15	12650	15	15	2948.25632411535	718.614583333333	20.6377942688074
16	12385	16	16	3293.28373321038	732.971354166667	23.0529861324727
17.001	12286	17	17	3083.96995403535	745.776041666667	21.5877896782475
18.001	12364	18	18	2887.14735235783	739.1796875	20.2100314665048
19.001	12786	19	19	2672.36000684515	704.645833333333	18.706520047916
20	12851	20	20	2725.3203051159	745	19.0772421358113
21.001	13137	21	21	3269.31189857093	721.330729166667	22.8851832899965
22.001	13501	22	22	3075.9161867786	704.645833333333	21.5314133074502
23.001	13824	23	23	2555.0203042571	746.552083333333	17.8851421297997
24	14504	24	24	2621.34566874845	734.135416666667	18.3494196812392
25.001	15231	25	25	2586.14319844339	745.776041666667	18.1030023891037
26.001	16119	26	26	3025.11253418627	763.236979166667	21.1757877393039
27.001	17430	27	27	3099.52608212912	736.463541666667	21.6966825749038
28.001	18218	28	28	2552.9379351866	752.760416666667	17.8705655463062
28.999	18716	29	29	2353.46724561961	725.2109375	16.4742707193373
30	18357	30	30	3259.71762658528	725.2109375	22.818023386097
31	18103	31	31	2620.15305411216	732.1953125	18.3410713787851
32.001	18370	32	32	2845.16861006348	719.390625	19.9161802704444
33	17591	33	33	2710.39661952138	703.09375	18.9727763366497
34.001	16847	34	34	3071.66833885908	730.643229166667	21.5016783720136
35	16834	35	35	2034.63383349746	704.2578125	14.2424368344822
36	16967	36	36	2982.36008982402	728.703125	20.8765206287681
37	16439	37	37	2878.68859741673	707.361979166667	20.1508201819171
38	16512	38	38	2673.15940710326	696.497395833333	18.7121158497228
39	16547	39	39	2913.57166786483	748.4921875	20.3950016750538
39.999	16871	40	40	2993.13078982176	703.481770833333	20.9519155287523
41.001	16639	41	41	2615.41822889914	707.361979166667	18.307927602294
42.001	16649	42	42	3058.35209746229	699.989583333333	21.408464682236
43	16560	43	43	2883.39197196136	754.3125	20.1837438037295
44.001	16617	44	44	2853.46338743062	739.1796875	19.9742437120143
45.001	16793	45	45	2721.49981521572	703.09375	19.05049870651
45.999	16836	46	46	2825.86882202812	768.669270833333	19.7810817541969
47	16969	47	47	3153.27884512812	710.854166666667	22.0729519158968
48.001	17237	48	48	2957.83085468708	736.463541666667	20.7048159828096
49	17334	49	49	2839.7905977024	709.690104166667	19.8785341839168
50	17065	50	50	2908.21579849908	699.6015625	20.3575105894936
51	17137	51	51	3364.40182868795	710.078125	23.5508128008156
52	17264	52	52	3176.30573775018	726.763020833333	22.2341401642513
53	17283	53	53	2809.63272929064	711.630208333333	19.6674291050345
54.001	17410	54	54	2532.66689824385	696.109375	17.728668287707
55	17370	55	55	3272.06571568835	750.044270833333	22.9044600098184
56.001	17215	56	56	3155.11023453619	734.911458333333	22.0857716417533
57.001	16589	57	57	2823.27358572265	712.40625	19.7629151000585
58.001	15974	58	58	2683.51848209545	753.1484375	18.7846293746681
59	14504	59	59	3142.78957567034	753.924479166667	21.9995270296924
60.001	13412	60	60	2745.02476728241	705.033854166667	19.2151733709769
61	11915	61	61	2475.26264369065	757.416666666667	17.3268385058345
62.001	10603	62	62	2855.42022323085	696.497395833333	19.987941562616
63.001	8890	63	63	2832.44793887599	760.1328125	19.827135572132
64	8244	64	64	3225.88812420102	745.388020833333	22.5812168694072
65	7426	65	65	2777.04326875068	739.567708333333	19.4393028812548
66	6721	66	66	2872.84587877792	736.8515625	20.1099211514454
67	6291	67	67	2768.61151884269	724.822916666667	19.3802806318989
68	5895	68	68	2637.98528750488	739.955729166667	18.4658970125342
69	5855	69	69	3172.94393233185	718.2265625	22.2106075263229
70	5594	70	70	2984.13664183555	722.106770833333	20.8889564928489
71.001	5510	71	71	3055.33896597108	760.1328125	21.3873727617976
72.001	5473	72	72	2915.61612601865	723.658854166667	20.4093128821306
73.001	5575	73	73	2959.02086219746	744.223958333333	20.7131460353822
74.001	5679	74	74	2652.83938277004	714.346354166667	18.5698756793903
74.999	6182	75	75	2637.34847605362	733.359375	18.4614393323753
76.001	7255	76	76	2741.11080654324	708.9140625	19.1877756458027
77.001	9586	77	77	3127.62081240617	736.463541666667	21.8933456868432
78.001	13718	78	78	1620.77831129786	703.869791666667	11.345448179085
79	20360	79	79	2318.34753339703	715.510416666667	16.2284327337792
80	31148	80	80	2730.81383057102	717.450520833333	19.1156968139971
81	44712	81	81	2980.95633273465	734.5234375	20.8666943291425
82	59251	82	82	2272.05591520595	731.807291666667	15.9043914064417
82.999	72701	83	83	3139.0212205385	735.6875	21.9731485437695
84	80473	84	84	3055.84328466931	698.4375	21.3909029926852
85.001	80948	85	85	2802.12321386867	713.5703125	19.6148624970807
86	75068	86	86	2700.99280707143	729.479166666667	18.9069496495
87.001	63984	87	87	3087.32936196428	715.122395833333	21.61130553375
88.001	50345	88	88	3021.44364577395	757.8046875	21.1501055204177
89	35822	89	89	2941.29357692242	745.776041666667	20.589055038457
90.001	23813	90	90	2601.28484069006	698.4375	18.2089938848304
91	14715	91	91	2911.03679358307	696.497395833333	20.3772575550815
92	8787	92	92	2639.03639562872	721.330729166667	18.473254769401
92.999	4924	93	93	2860.86617165686	709.690104166667	20.026063201598
94	2948	94	94	2792.41704528223	731.03125	19.5469193169756
94.999	1755	95	95	2810.99628899661	743.059895833333	19.6769740229763
96	1203	96	96	3249.93926400497	741.119791666667	22.7495748480348
97	876	97	97	3055.67465866738	725.2109375	21.3897226106716
98	698	98	98	2868.58665804459	717.450520833333	20.0801066063121
99.001	661	99	99	2972.01795689475	739.955729166667	20.8041256982632
100.001	573	100	100	3123.04590877486	728.315104166667	21.861321361424
101	596	101	101	3244.16076060904	748.4921875	22.7091253242633
102	574	102	102	2762.0311845138	719.002604166667	19.3342182915966
103	639	103	103	3139.66546958823	732.971354166667	21.9776582871176
104	599	104	104	2889.32294124636	718.2265625	20.2252605887245
105	593	105	105	2721.4374632681	719.390625	19.0500622428767
106.001	611	106	106	2656.56903886509	727.927083333333	18.5959832720557
107.001	522	107	107	2561.81620455367	703.869791666667	17.9327134318757
108	578	108	108	3145.82780590003	731.419270833333	22.0207946413002
109	542	109	109	2663.22912422076	698.049479166667	18.6426038695453
110.001	553	110	110	2944.92961598198	700.377604166667	20.6145073118739
111.001	569	111	111	3098.5345075273	739.567708333333	21.6897415526911
112.001	570	112	112	2899.79141462138	697.2734375	20.2985399023497
113	499	113	113	2716.50428832503	743.059895833333	19.0155300182752
114	471	114	114	2877.64955262588	712.40625	20.1435468683811
115	485	115	115	2803.21696619596	751.596354166667	19.6225187633717
116	480	116	116	2976.94947619913	747.328125	20.8386463333939
117.001	505	117	117	3132.42119181137	703.481770833333	21.9269483426796
118.001	463	118	118	2820.12775178716	755.864583333333	19.7408942625101
119.001	437	119	119	2994.2547549186	734.5234375	20.9597832844302
120	460	120	120	2986.88112993333	731.807291666667	20.9081679095333
121.001	427	121	121	2519.87882852796	734.135416666667	17.6391517996957
122	489	122	122	3149.55070332565	739.567708333333	22.0468549232795
123	392	123	123	2720.36360306665	747.328125	19.0425452214666
124.001	398	124	124	3233.70457824648	699.6015625	22.6359320477254
125	406	125	125	2988.63817535307	730.643229166667	20.9204672274715
126.001	415	126	126	3123.70850399423	730.643229166667	21.8659595279596
127	353	127	127	2763.62686409587	748.880208333333	19.3453880486711
128	366	128	128	2897.49844301951	743.8359375	20.2824891011366
129	366	129	129	3077.88890341689	713.182291666667	21.5452223239182
130	373	130	130	2893.9730860503	716.286458333333	20.2578116023521
131.001	334	131	131	3003.04540246166	729.091145833333	21.0213178172316
132	314	132	132	2823.18150145836	722.494791666667	19.7622705102085
133.001	351	133	133	3088.24733311429	715.8984375	21.6177313318
134	287	134	134	2755.97010898645	737.239583333333	19.2917907629052
135.001	255	135	135	3010.16801174805	729.091145833333	21.0711760822364
136	311	136	136	2865.4344364789	749.268229166667	20.0580410553523
136.999	265	137	137	2656.7268804745	731.807291666667	18.5970881633215
138	274	138	138	3123.26023084156	739.1796875	21.8628216158909
139.001	258	139	139	2844.45465411011	734.5234375	19.9111825787708
140.001	273	140	140	2820.10744376294	718.2265625	19.7407521063406
141	269	141	141	3227.12086383171	714.346354166667	22.589846046822
142	251	142	142	2619.4285385089	725.2109375	18.3359997695623
143	258	143	143	2770.35917446179	746.552083333333	19.3925142212325
144	220	144	144	2743.30707271889	722.494791666667	19.2031495090323
145	212	145	145	2662.03043569637	724.046875	18.6342130498746
146	237	146	146	2775.87230987375	739.1796875	19.4311061691162
147	189	147	147	1783.79735741877	739.955729166667	12.4865815019314
148	202	148	148	2984.97886259762	737.627604166667	20.8948520381833
149	192	149	149	2772.69561334226	743.8359375	19.4088692933958
150	173	150	150	3263.60684569843	741.895833333333	22.845247919889
151.001	166	151	151	3010.49161883577	753.924479166667	21.0734413318504
152.001	173	152	152	3036.37119904257	728.315104166667	21.254598393298
153	165	153	153	2464.47738925255	706.973958333333	17.2513417247678
154	155	154	154	3109.30897284323	759.356770833333	21.7651628099026
155	178	155	155	3266.87748329201	755.4765625	22.8681423830441
156	140	156	156	3493.44190687628	743.8359375	24.454093348134
157	156	157	157	3236.35610915711	752.372395833333	22.6544927640998
158.001	153	158	158	3138.81643306982	758.96875	21.9717150314887
159.001	132	159	159	2789.63837750794	750.432291666667	19.5274686425556
160.001	169	160	160	3055.89740669982	732.971354166667	21.3912818468987
161	157	161	161	2989.75872647077	734.911458333333	20.9283110852954
162	169	162	162	3226.86061404196	716.286458333333	22.5880242982937
163.001	138	163	163	2811.09979404269	696.109375	19.6776985582988
164.001	179	164	164	2603.95845769514	741.119791666667	18.227709203866
165	174	165	165	2814.41147294781	702.705729166667	19.7008803106347
166	188	166	166	2921.75205897998	732.583333333333	20.4522644128599
167	196	167	167	2983.66834170854	728.703125	20.8856783919598
168	168	168	168	3161.00386734616	735.6875	22.1270270714231
169	181	169	169	2831.7245673234	715.122395833333	19.8220719712638
170	159	170	170	2575.16098366706	719.390625	18.0261268856694
171.001	162	171	171	3431.21293377209	755.864583333333	24.0184905364046
172.001	143	172	172	2973.1935714254	726.763020833333	20.8123549999778
173.001	127	173	173	3187.04866857983	725.986979166667	22.3093406800588
