Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
123,2710,123,123,4655.55651490477,32.5888956043334,754.700520833333
124,2718,124,124,4720.27147387785,33.041900317145,765.177083333333
125,2762,125,125,4739.00486303585,33.173034041251,773.325520833333
126,2663,126,126,4629.65280106507,32.4075696074555,759.744791666667
127,2797,127,127,4279.49207528979,29.9564445270285,764.401041666667
128,2820,128,128,4708.79184268353,32.9615428987847,771.385416666667
129,2814,129,129,4789.22072951725,33.5245451066207,756.640625
130.001,2756,130,130,4656.69937676138,32.5968956373297,767.893229166667
131.001,2785,131,131,4841.54030479611,33.8907821335728,762.848958333333
131.999,2758,132,132,4798.39871951989,33.5887910366392,763.625
133,2883,133,133,4818.94733661873,33.7326313563311,764.401041666667
134,2784,134,134,4156.21052958417,29.0934737070892,762.848958333333
135,2796,135,135,4845.3087178847,33.9171610251929,769.057291666667
136,2708,136,136,4745.2452172304,33.2167165206128,762.848958333333
137,2771,137,137,4749.09678392941,33.2436774875059,765.953125
138,2742,138,138,4825.89353445777,33.7812547412044,772.161458333333
139.001,2649,139,139,4774.97743788153,33.4248420651707,758.96875
140,2683,140,140,4461.41674945318,31.2299172461722,758.580729166667
140.999,2739,141,141,4761.93712883579,33.3335599018505,760.520833333333
142,2798,142,142,4686.53179869602,32.8057225908721,768.669270833333
143,2747,143,143,4802.59128948743,33.618139026412,769.057291666667
144,2738,144,144,4816.41013162987,33.7148709214091,759.744791666667
145.001,2695,145,145,4800.75265491288,33.6052685843901,773.713541666667
146,2746,146,146,4796.06524688338,33.5724567281837,769.833333333333
147,2823,147,147,4820.31283597547,33.7421898518283,767.505208333333
148,2765,148,148,4768.33353013285,33.3783347109299,764.7890625
149,2766,149,149,4736.0167631618,33.1521173421326,763.625
149.999,2839,150,150,4676.14684300612,32.7330279010428,763.625
151,2861,151,151,4776.62747908908,33.4363923536235,761.684895833333
152,2813,152,152,4770.08682560142,33.3906077792099,762.848958333333
153,2704,153,153,4751.11972821715,33.2578380975201,753.924479166667
153.999,2795,154,154,4560.50152407406,31.9235106685184,764.7890625
155.001,2801,155,155,4651.44803162945,32.5601362214061,756.640625
156,2808,156,156,4482.02620413918,31.3741834289742,763.625
157,2944,157,157,4723.09758886866,33.0616831220807,765.177083333333
158,2808,158,158,4738.36263246811,33.1685384272768,765.953125
159,2911,159,159,4712.55679352529,32.987897554677,768.28125
160,2956,160,160,4321.61202435239,30.2512841704667,755.4765625
161,2852,161,161,4722.87695697349,33.0601386988144,766.729166666667
162,2940,162,162,4448.37450443064,31.1386215310145,764.7890625
163,2914,163,163,4536.6434198272,31.7565039387904,756.252604166667
164,2934,164,164,4766.40452367446,33.3648316657212,757.416666666667
164.999,2967,165,165,4639.0756927531,32.4735298492717,760.908854166667
166.001,2870,166,166,4751.50945148507,33.2605661603955,758.192708333333
167,2882,167,167,4756.50602058778,33.2955421441144,765.565104166667
168.001,2992,168,168,4635.83599175905,32.4508519423133,758.192708333333
169,2899,169,169,4777.8858430492,33.4452009013444,772.549479166667
170,2972,170,170,4602.0740933929,32.2145186537503,773.325520833333
171.001,2930,171,171,4812.16248258297,33.6851373780808,768.28125
171.999,2935,172,172,4676.21396185598,32.7334977329919,762.072916666667
173,2965,173,173,4754.67677356493,33.2827374149545,762.072916666667
174,2979,174,174,4705.31519557994,32.9372063690596,760.520833333333
175,2986,175,175,4330.33318351928,30.312332284635,762.4609375
176,2898,176,176,4706.86418248465,32.9480492773925,756.640625
177,2978,177,177,4887.77180383446,34.2144026268412,751.596354166667
178,3033,178,178,4729.39597355742,33.1057718149019,762.072916666667
179,2988,179,179,4747.41433683577,33.2319003578504,766.341145833333
180,2920,180,180,4753.20880436767,33.2724616305737,760.908854166667
181,3107,181,181,4646.20312280804,32.5234218596563,760.1328125
182.001,2991,182,182,4721.46227683878,33.0502359378714,763.236979166667
183,2992,183,183,4349.51712931426,30.4466199051998,760.520833333333
183.999,3133,184,184,3927.78606464801,27.4945024525361,760.908854166667
184.999,2946,185,185,4526.93626889957,31.688553882297,762.4609375
185.999,3049,186,186,4582.50414332247,32.0775290032573,766.729166666667
187,3202,187,187,4783.69444722159,33.4858611305511,759.744791666667
188,3077,188,188,4797.44307930844,33.5821015551591,768.669270833333
189,3145,189,189,4778.69894196666,33.4508925937666,759.744791666667
190.001,3223,190,190,4601.54750042439,32.2108325029707,763.625
191,3219,191,191,4740.64117588334,33.1844882311834,759.744791666667
192,3283,192,192,4617.6417528468,32.3234922699276,767.505208333333
193,3247,193,193,4557.97980206329,31.905858614443,770.221354166667
193.999,3263,194,194,4677.44649481975,32.7421254637383,755.864583333333
195,3378,195,195,4735.65654020817,33.1495957814572,766.341145833333
195.999,3348,196,196,4459.25689975834,31.2147982983084,763.236979166667
197,3472,197,197,4792.8372463545,33.5498607244815,769.057291666667
198,3360,198,198,4834.69571271306,33.8428699889914,762.072916666667
199,3356,199,199,4831.96822973381,33.8237776081367,751.596354166667
200.001,3415,200,200,4687.77603897675,32.8144322728372,759.744791666667
200.999,3453,201,201,4702.15648516109,32.9150953961276,768.28125
202,3498,202,202,4664.93856609118,32.6545699626383,755.088541666667
203,3555,203,203,4384.59373106874,30.6921561174812,767.1171875
