Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
139,31,139,139,19.9833139328661,696.109375,0.139883197530062
140.001,26,140,140,12.1983135277079,696.109375,0.0853881946939554
141,22,141,141,14.023726743277,696.497395833333,0.0981660872029387
142,29,142,142,22.008924618933,699.6015625,0.154062472332531
143.001,24,143,143,18.8438583487216,696.109375,0.131907008441051
144.001,28,144,144,16.0175488264943,696.109375,0.11212284178546
145,30,145,145,14.4438747138307,696.109375,0.101107122996815
146,32,146,146,28.9945316313343,696.109375,0.20296172141934
147,25,147,147,14.0045108529457,696.109375,0.0980315759706201
148.001,25,148,148,19.9847449780001,696.109375,0.139893214846001
149.001,23,149,149,12.0066661010193,696.109375,0.084046662707135
150,30,150,150,11.007339694108,696.109375,0.0770513778587562
151.001,26,151,151,17.9938604947992,696.109375,0.125957023463594
152.001,28,152,152,18.9918411050613,696.109375,0.132942887735429
153,34,153,153,15.9946465917857,696.109375,0.1119625261425
154.001,25,154,154,18.0119707557643,696.109375,0.12608379529035
155.001,26,155,155,15.5438372293776,696.109375,0.108806860605643
156,27,156,156,11.0293424626877,696.109375,0.0772053972388141
157.001,26,157,157,12.1872974900482,696.109375,0.0853110824303377
158.001,28,158,158,16.0245367707033,696.109375,0.112171757394923
159.001,28,159,159,14.4269669754518,696.109375,0.100988768828163
160,20,160,160,25.5364202646373,696.109375,0.178754941852461
161.001,33,161,161,11.0172441906071,696.109375,0.07712070933425
162,34,162,162,16.9908589179022,696.109375,0.118936012425315
163.001,31,163,163,12.2112470247574,696.109375,0.0854787291733019
164,24,164,164,16.0306489978189,696.109375,0.112214542984733
165.001,25,165,165,17.7593514640032,696.497395833333,0.124315460248023
166.001,27,166,166,9.99721188868438,696.109375,0.0699804832207906
167,21,167,167,12.9930954690677,696.109375,0.0909516682834742
168.001,28,168,168,17.0190119382362,696.109375,0.119133083567653
169.001,28,169,169,11.9957547024108,696.109375,0.0839702829168757
170.001,21,170,170,13.329863125633,696.109375,0.0933090418794307
171.001,24,171,171,13.0095281784379,696.109375,0.0910666972490652
172.001,28,172,172,17.0164906811191,696.109375,0.119115434767833
