Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,696.109375,,
1.001,0,1,1,696.109375,10.5609267255445,0.0739264870788118
2,0,2,2,696.109375,12.9956594497438,0.0909696161482065
3,0,3,3,696.497395833333,11.9932597879991,0.083952818515994
4,0,4,4,696.109375,9.01385429404995,0.0630969800583497
5,0,5,5,696.109375,19.0128279550213,0.133089795685149
6,0,6,6,696.109375,15.5375578843395,0.108762905190377
7.001,0,7,7,696.109375,14.4244201438581,0.100970941007006
8.001,0,8,8,696.109375,12.0070060880524,0.0840490426163667
9.001,0,9,9,696.109375,14.9950486349407,0.104965340444585
10,0,10,10,696.109375,16.027384388967,0.112191690722769
11,0,11,11,696.109375,13.316143671425,0.0932130056999753
12,0,12,12,696.109375,21.0964631335421,0.147675241934794
13.001,2,13,13,696.109375,8.00521539783169,0.0560365077848218
14,3,14,14,696.109375,29.0166207203486,0.20311634504244
15,1,15,15,696.109375,8.88179529504658,0.0621725670653261
16.001,4,16,16,696.109375,13.3243349657864,0.0932703447605051
17,0,17,17,696.109375,6.01014813512616,0.0420710369458831
18.001,6,18,18,696.109375,17.9994744153471,0.125996320907429
19.001,4,19,19,696.109375,14.4315458494652,0.101020820946256
20.001,1,20,20,696.109375,16.9999711000491,0.118999797700344
21,5,21,21,696.109375,12.0169799927297,0.0841188599491081
22.001,2,22,22,696.497395833333,12.212888861157,0.085490222028099
23,5,23,23,696.109375,8.88352718670243,0.062184690306917
24,7,24,24,696.109375,7.00241933588055,0.0490169353511638
25,3,25,25,696.109375,17.0251802415773,0.119176261691041
26.001,7,26,26,696.885416666667,21.0091578919251,0.147064105243476
27,6,27,27,696.109375,18.8687684920868,0.132081379444608
28.001,5,28,28,696.109375,19.9890881788641,0.139923617252049
29.001,7,29,29,696.109375,13.327153976273,0.093290077833911
30,6,30,30,696.109375,5.00298177713918,0.0350208724399742
31,8,31,31,696.109375,8.00954417283635,0.0560668092098545
32.001,5,32,32,696.109375,9.98764639115263,0.0699135247380684
33.001,10,33,33,696.109375,11.0202872467926,0.0771420107275483
34.001,7,34,34,696.109375,13.3225938424081,0.093258156896857
35.001,6,35,35,696.109375,7.7726961617538,0.0544088731322766
36.006,5,36,36,696.109375,16.0107800582132,0.112075460407492
37,8,37,37,696.109375,12.9933032515042,0.0909531227605292
38,10,38,38,696.109375,21.9825919854068,0.153878143897847
39.001,6,39,39,696.109375,13.997327910102,0.0979812953707137
40.001,8,40,40,696.109375,10.0133939157016,0.0700937574099115
41,10,41,41,696.109375,17.9693873517076,0.125785711461953
42.001,7,42,42,696.109375,17.0125518607629,0.11908786302534
43.001,5,43,43,696.109375,17.0342456474496,0.119239719532147
44,7,44,44,696.109375,13.3306760852337,0.0933147325966357
45.001,10,45,45,696.109375,17.7470379361792,0.124229265553254
46.001,6,46,46,697.661458333333,13.3300881974177,0.093310617381924
47.001,6,47,47,696.109375,18.8796357696245,0.132157450387371
48.001,4,48,48,696.109375,11.1068362132619,0.0777478534928334
49,7,49,49,696.109375,17.0278302858191,0.119194812000734
50,8,50,50,696.109375,18.8489416984493,0.131942591889145
