Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V
221,15,221,221,696.109375
222.001,24,222,222,696.109375
223,18,223,223,696.109375
224.001,9,224,224,696.109375
225,12,225,225,696.109375
226,22,226,226,696.109375
227,18,227,227,696.109375
228,15,228,228,696.109375
229.001,20,229,229,696.109375
230.001,13,230,230,696.109375
231.001,18,231,231,696.109375
232.001,23,232,232,696.109375
233.001,11,233,233,696.109375
234.001,12,234,234,696.109375
235,16,235,235,696.109375
236.001,15,236,236,696.109375
237,20,237,237,696.109375
238,9,238,238,696.109375
239,16,239,239,697.661458333333
240,16,240,240,696.109375
241.001,12,241,241,696.109375
242.001,18,242,242,696.109375
243.001,12,243,243,696.109375
244.001,13,244,244,696.109375
245.001,16,245,245,696.109375
246.001,24,246,246,696.109375
247.001,16,247,247,696.109375
248.001,11,248,248,696.109375
249.001,17,249,249,696.109375
250.001,16,250,250,696.109375
251.001,10,251,251,696.109375
252,14,252,252,696.109375
253.001,12,253,253,696.109375
254.001,13,254,254,696.109375
255,10,255,255,696.109375
256.001,9,256,256,696.109375
257,9,257,257,696.109375
258,15,258,258,696.109375
259,10,259,259,696.109375
260,9,260,260,696.109375
261.001,11,261,261,696.109375
262.001,11,262,262,696.109375
263,12,263,263,696.885416666667
264.001,12,264,264,694.9453125
265,12,265,265,696.109375
266.001,13,266,266,696.109375
267.001,14,267,267,696.109375
268.001,9,268,268,696.109375
269,11,269,269,696.109375
270.001,16,270,270,696.109375
271,9,271,271,696.109375
272.001,10,272,272,696.109375
273.001,7,273,273,696.109375
274.001,12,274,274,696.109375
275,5,275,275,696.109375
276.001,11,276,276,696.109375
277,8,277,277,696.109375
278,10,278,278,695.721354166667
279.001,9,279,279,696.109375
280,7,280,280,696.109375
281,10,281,281,696.109375
282,8,282,282,696.109375
283.001,13,283,283,696.109375
284,9,284,284,696.109375
285.001,13,285,285,696.109375
286,14,286,286,696.109375
287,16,287,287,696.109375
288.001,5,288,288,696.109375
289,10,289,289,696.109375
290.001,11,290,290,695.721354166667
290.999,8,291,291,696.109375
292,13,292,292,696.109375
293,6,293,293,696.109375
294,8,294,294,696.109375
295,7,295,295,696.109375
296.001,12,296,296,696.109375
297.001,8,297,297,696.109375
298.001,10,298,298,696.109375
299,9,299,299,696.109375
300.001,7,300,300,696.109375
301.001,9,301,301,696.109375
302.001,13,302,302,696.109375
303.001,5,303,303,696.109375
304.001,6,304,304,696.109375
305.001,12,305,305,696.109375
306.001,9,306,306,696.109375
307.001,11,307,307,696.109375
308.001,8,308,308,696.109375
309.001,8,309,309,696.109375
310,14,310,310,696.109375
311,8,311,311,696.109375
312,8,312,312,696.109375
313.001,6,313,313,696.109375
314.001,3,314,314,696.109375
315,11,315,315,696.109375
316.001,14,316,316,696.109375
317,6,317,317,696.109375
318,4,318,318,696.109375
319,8,319,319,696.109375
320,8,320,320,696.109375
321.001,9,321,321,695.721354166667
322,8,322,322,696.109375
323.001,6,323,323,696.109375
324.001,10,324,324,696.109375
325.001,5,325,325,696.109375
326.001,11,326,326,696.109375
327.001,9,327,327,696.109375
328.001,10,328,328,696.109375
329.001,8,329,329,696.109375
330,4,330,330,696.109375
331.001,5,331,331,696.109375
332,8,332,332,696.109375
333,1,333,333,695.721354166667
334,5,334,334,696.109375
335.001,5,335,335,696.109375
336,10,336,336,696.109375
337.001,4,337,337,696.109375
338,5,338,338,696.109375
339,12,339,339,696.109375
340.001,9,340,340,696.109375
341,6,341,341,696.109375
342.001,8,342,342,695.721354166667
343.001,7,343,343,696.109375
344.001,10,344,344,696.109375
345,5,345,345,696.109375
346.001,6,346,346,696.109375
347.001,8,347,347,696.109375
348.001,2,348,348,696.109375
349.001,7,349,349,696.109375
350.001,4,350,350,696.109375
351,8,351,351,696.109375
352.001,6,352,352,696.109375
353.001,8,353,353,696.109375
354,7,354,354,695.721354166667
355.001,6,355,355,696.109375
356.001,8,356,356,696.109375
357.001,5,357,357,695.721354166667
358.001,7,358,358,695.721354166667
359.001,10,359,359,696.109375
360.001,5,360,360,696.109375
361,3,361,361,695.721354166667
362,5,362,362,696.109375
363.001,6,363,363,696.109375
364.001,7,364,364,696.109375
365.001,7,365,365,696.109375
366,2,366,366,696.109375
367.001,9,367,367,696.109375
368,2,368,368,696.109375
369.001,6,369,369,696.109375
370.001,11,370,370,696.109375
371.001,5,371,371,696.109375
372,5,372,372,696.109375
373.001,5,373,373,696.109375
374.001,2,374,374,696.109375
375.001,4,375,375,696.109375
376,8,376,376,696.109375
377.001,2,377,377,695.721354166667
378,5,378,378,694.9453125
379,7,379,379,695.721354166667
380,10,380,380,696.109375
381,1,381,381,696.109375
382.001,8,382,382,696.109375
383,7,383,383,696.109375
384,5,384,384,696.109375
385,6,385,385,696.109375
386,6,386,386,696.109375
387.001,7,387,387,696.109375
387.999,9,388,388,696.109375
389.001,2,389,389,696.109375
390.001,6,390,390,696.109375
391,6,391,391,696.109375
392.003,7,392,392,696.109375
393.001,8,393,393,696.109375
394.001,8,394,394,696.109375
395,8,395,395,696.109375
396,7,396,396,696.109375
397.001,6,397,397,696.109375
398,4,398,398,696.109375
399.001,3,399,399,697.661458333333
400.001,8,400,400,695.721354166667
401.001,3,401,401,696.109375
402,4,402,402,696.109375
403,4,403,403,695.721354166667
404.001,5,404,404,695.721354166667
405.001,2,405,405,696.109375
406,4,406,406,696.109375
407.001,6,407,407,696.109375
408.001,5,408,408,696.109375
409,9,409,409,696.109375
410.001,3,410,410,696.109375
411.001,9,411,411,696.109375
412,4,412,412,696.109375
413.001,6,413,413,696.109375
414,4,414,414,696.109375
415.001,5,415,415,696.109375
416.001,2,416,416,696.109375
417.001,4,417,417,696.109375
418.001,8,418,418,696.109375
419,5,419,419,696.109375
420,3,420,420,696.109375
421.001,2,421,421,696.109375
422.001,8,422,422,696.109375
423,2,423,423,696.109375
424.001,6,424,424,696.109375
425.001,2,425,425,696.109375
426,5,426,426,696.109375
427,6,427,427,696.109375
428.001,5,428,428,696.109375
429,3,429,429,696.109375
430.001,4,430,430,696.109375
431.001,4,431,431,696.109375
432.001,3,432,432,696.109375
433,6,433,433,696.109375
434.001,6,434,434,696.109375
435,4,435,435,696.109375
436,5,436,436,696.109375
437,3,437,437,696.109375
438,7,438,438,696.109375
439,7,439,439,696.109375
440,5,440,440,696.109375
441,1,441,441,696.109375
442.001,4,442,442,696.109375
443.001,4,443,443,696.109375
444.001,2,444,444,696.109375
445.001,8,445,445,696.109375
446,4,446,446,696.109375
447,8,447,447,696.109375
448,2,448,448,696.109375
449,2,449,449,696.109375
450.001,6,450,450,696.109375
451,6,451,451,696.109375
452,3,452,452,695.333333333333
453.001,3,453,453,695.333333333333
454.001,2,454,454,696.109375
455,7,455,455,696.109375
456.001,3,456,456,696.109375
457,5,457,457,696.109375
458,3,458,458,696.109375
459.001,6,459,459,696.109375
460.001,3,460,460,696.109375
461.001,3,461,461,696.109375
462.001,5,462,462,696.109375
463.001,8,463,463,696.109375
464.001,5,464,464,696.109375
465,3,465,465,696.109375
466.001,3,466,466,696.109375
467.001,4,467,467,696.109375
468,4,468,468,696.109375
469.001,5,469,469,696.109375
470,7,470,470,696.109375
471,2,471,471,696.109375
472.001,3,472,472,696.109375
473,7,473,473,696.109375
474.001,4,474,474,696.109375
475.001,6,475,475,696.109375
476,3,476,476,696.109375
477,4,477,477,696.109375
478.001,2,478,478,696.109375
479.001,2,479,479,695.333333333333
480,3,480,480,696.109375
481,6,481,481,696.109375
482,5,482,482,696.109375
483.001,6,483,483,696.109375
484,2,484,484,696.109375
485.001,4,485,485,696.109375
486.001,5,486,486,696.109375
487.001,6,487,487,696.109375
488,3,488,488,696.109375
489.001,3,489,489,696.109375
490.001,4,490,490,696.109375
491.001,5,491,491,696.109375
492.001,3,492,492,696.109375
493.001,5,493,493,696.109375
494.001,8,494,494,696.109375
495.001,4,495,495,696.109375
496,2,496,496,696.109375
497.001,4,497,497,696.109375
498.001,3,498,498,696.109375
499.001,1,499,499,696.109375
500.001,2,500,500,696.109375
501.001,9,501,501,696.109375
502.001,4,502,502,696.109375
503,5,503,503,696.109375
504.001,10,504,504,696.109375
505,5,505,505,696.109375
506.001,9,506,506,696.109375
507,2,507,507,696.109375
508.001,11,508,508,696.109375
509.001,5,509,509,696.109375
510.001,2,510,510,696.109375
511,5,511,511,696.109375
512.001,5,512,512,695.721354166667
513.001,6,513,513,696.109375
514,4,514,514,696.109375
515.001,5,515,515,696.109375
516.001,5,516,516,696.109375
517.001,5,517,517,696.109375
518,8,518,518,696.109375
519.001,1,519,519,696.109375
520.001,3,520,520,696.109375
521.001,3,521,521,696.109375
522,5,522,522,696.109375
523,2,523,523,696.109375
524.001,2,524,524,696.109375
525.001,7,525,525,696.109375
526.001,1,526,526,696.109375
527,5,527,527,696.109375
528.001,3,528,528,696.109375
529.001,6,529,529,696.109375
530,4,530,530,696.109375
531,6,531,531,696.109375
532,5,532,532,696.109375
533.001,3,533,533,696.109375
534,3,534,534,696.109375
535.001,6,535,535,696.109375
536,2,536,536,696.109375
537,6,537,537,696.109375
538.001,6,538,538,696.109375
539.001,5,539,539,696.109375
540.001,2,540,540,696.109375
541.001,4,541,541,696.109375
542,1,542,542,695.721354166667
543.001,3,543,543,696.109375
544,2,544,544,696.109375
545.001,2,545,545,695.721354166667
546.001,9,546,546,696.109375
547.001,6,547,547,695.721354166667
548.002,4,548,548,696.109375
549,4,549,549,696.885416666667
550.001,8,550,550,695.721354166667
551.001,4,551,551,696.109375
552.001,6,552,552,696.109375
553,7,553,553,695.333333333333
554.001,4,554,554,696.109375
555.001,4,555,555,696.109375
556,7,556,556,696.109375
557.001,4,557,557,696.109375
558,4,558,558,696.109375
559.001,5,559,559,696.109375
560,1,560,560,696.109375
561.001,5,561,561,696.109375
562.001,6,562,562,696.109375
563,3,563,563,696.109375
564.001,4,564,564,696.109375
565.001,1,565,565,696.109375
566,3,566,566,696.109375
567,6,567,567,696.109375
568.001,1,568,568,696.109375
569.002,4,569,569,696.109375
570,4,570,570,696.109375
571,7,571,571,695.721354166667
572.001,4,572,572,696.109375
573.001,3,573,573,696.109375
574,3,574,574,696.109375
575,5,575,575,696.109375
576.001,3,576,576,696.109375
577.001,3,577,577,696.109375
577.999,1,578,578,696.109375
579.001,4,579,579,696.109375
580,2,580,580,696.109375
581,4,581,581,696.109375
