Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
53.001,441,53,53,703.481770833333,882.646350287432,6.17852445201202
54.001,429,54,54,714.346354166667,872.877857248802,6.11014500074161
55.001,439,55,55,708.138020833333,826.297768835578,5.78408438184905
56.001,442,56,56,700.765625,888.675675759635,6.22072973031744
57,472,57,57,706.973958333333,889.18481512116,6.22429370584812
58.001,438,58,58,704.645833333333,896.315861709666,6.27421103196767
59.001,414,59,59,707.75,906.685944272954,6.34680160991067
60.001,473,60,60,702.317708333333,823.965723025922,5.76776006118146
61.001,466,61,61,703.481770833333,907.764337572236,6.35435036300565
62.001,473,62,62,705.033854166667,887.397723165288,6.21178406215701
63,474,63,63,708.138020833333,914.966720966718,6.40476704676703
64.001,525,64,64,705.033854166667,885.843422845702,6.20090395991991
65.001,496,65,65,709.302083333333,853.85936103561,5.97701552724927
66.001,504,66,66,708.138020833333,884.844575054502,6.19391202538151
67.001,487,67,67,703.869791666667,926.257208909653,6.48380046236757
68.001,475,68,68,707.361979166667,884.363083040805,6.19054158128563
69.002,508,69,69,706.5859375,854.5214896063,5.9816504272441
70.001,490,70,70,703.481770833333,896.331537595594,6.27432076316916
71,479,71,71,707.361979166667,926.942499592034,6.48859749714424
72.001,446,72,72,705.809895833333,904.421411106029,6.3309498777422
73.001,449,73,73,704.2578125,886.595969810907,6.20617178867635
74.001,491,74,74,701.9296875,835.436431992073,5.84805502394451
75.001,493,75,75,700.377604166667,864.373469778426,6.05061428844898
76.001,507,76,76,706.973958333333,897.524253124472,6.2826697718713
77.001,449,77,77,707.75,898.261248619186,6.2878287403343
78.001,490,78,78,704.2578125,872.908517854644,6.11035962498251
79.001,524,79,79,708.526041666667,860.33535872283,6.02234751105981
80.001,503,80,80,702.317708333333,873.682399240662,6.11577679468464
81.001,530,81,81,704.645833333333,873.745157070402,6.11621609949282
82.001,498,82,82,707.75,892.729717270897,6.24910802089628
