Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V
0,0,0,0,696.109375
1,0,1,1,696.109375
2.001,0,2,2,696.109375
3.001,0,3,3,696.109375
4.001,0,4,4,696.109375
5.001,0,5,5,696.109375
6,0,6,6,695.333333333333
7.001,0,7,7,696.109375
8.001,0,8,8,696.109375
9,0,9,9,696.109375
10,0,10,10,695.721354166667
11.001,0,11,11,696.109375
12.001,0,12,12,696.109375
13.001,1,13,13,696.109375
14,2,14,14,696.109375
15.001,0,15,15,696.109375
16,8,16,16,696.109375
17.001,1,17,17,696.109375
18.001,5,18,18,696.109375
19,4,19,19,696.109375
20,5,20,20,696.109375
21,2,21,21,696.109375
22.001,11,22,22,696.109375
23,6,23,23,696.109375
24.001,3,24,24,696.109375
25,6,25,25,696.109375
25.999,6,26,26,696.109375
27,3,27,27,696.109375
28,8,28,28,696.109375
29,8,29,29,696.109375
30.001,4,30,30,696.109375
31.001,5,31,31,696.109375
32.001,3,32,32,696.109375
33,8,33,33,696.109375
34,8,34,34,695.721354166667
35,12,35,35,696.109375
36.002,10,36,36,696.109375
37.001,6,37,37,696.109375
38,7,38,38,696.109375
39.001,12,39,39,696.109375
40,8,40,40,696.109375
41,10,41,41,696.109375
42.001,9,42,42,696.109375
43,7,43,43,696.109375
44,7,44,44,696.109375
45,4,45,45,696.109375
46,7,46,46,695.333333333333
47,9,47,47,695.721354166667
48.001,10,48,48,696.109375
49.001,6,49,49,696.109375
50,15,50,50,695.721354166667
51,9,51,51,696.109375
52,8,52,52,696.109375
53.001,6,53,53,696.109375
54.001,12,54,54,696.109375
55,8,55,55,696.109375
56,7,56,56,696.109375
57.001,10,57,57,696.109375
58.001,15,58,58,696.109375
59,11,59,59,696.109375
60.001,11,60,60,696.109375
61.001,12,61,61,696.109375
62,20,62,62,695.721354166667
63,15,63,63,696.109375
64.001,13,64,64,696.109375
65.001,12,65,65,696.109375
66,14,66,66,696.109375
67,14,67,67,696.109375
68,10,68,68,695.721354166667
69.001,8,69,69,696.109375
70,8,70,70,696.109375
71.001,4,71,71,696.109375
72.001,12,72,72,696.109375
73.001,15,73,73,696.109375
74.001,9,74,74,696.109375
75,14,75,75,696.109375
76.001,8,76,76,696.109375
77,12,77,77,696.109375
78,10,78,78,696.109375
79.001,19,79,79,696.109375
80,16,80,80,696.109375
81,23,81,81,696.109375
82,16,82,82,696.109375
83.001,17,83,83,696.109375
84,15,84,84,696.109375
85.001,24,85,85,696.109375
86.001,26,86,86,696.109375
87.001,27,87,87,696.109375
88,33,88,88,696.109375
88.999,19,89,89,696.109375
90,36,90,90,696.109375
91,29,91,91,696.109375
92.001,28,92,92,696.109375
93.001,28,93,93,696.109375
94.001,32,94,94,696.109375
95.001,47,95,95,696.109375
96,42,96,96,696.109375
97.001,22,97,97,696.109375
98.001,36,98,98,696.109375
99.001,39,99,99,696.109375
100,33,100,100,696.109375
101.001,24,101,101,695.333333333333
102.001,34,102,102,696.109375
103.003,36,103,103,696.109375
104,39,104,104,696.109375
105.001,39,105,105,696.109375
106.001,37,106,106,696.109375
107.001,40,107,107,696.109375
108.001,34,108,108,696.109375
109,33,109,109,696.109375
110,30,110,110,696.109375
111,35,111,111,696.109375
112.001,40,112,112,696.109375
113.001,35,113,113,694.9453125
114,37,114,114,696.109375
115.001,25,115,115,696.109375
116,22,116,116,696.109375
117,29,117,117,696.109375
118.001,28,118,118,696.109375
119.001,36,119,119,696.109375
120.001,36,120,120,696.109375
121,25,121,121,696.109375
122.001,25,122,122,695.333333333333
123,37,123,123,696.109375
124.001,31,124,124,696.109375
125,33,125,125,696.109375
126.001,24,126,126,696.109375
127.001,32,127,127,696.109375
128.001,23,128,128,696.109375
129.001,19,129,129,696.109375
130.001,31,130,130,696.109375
131.001,28,131,131,696.109375
132.001,31,132,132,695.721354166667
133.001,28,133,133,696.109375
134.001,34,134,134,696.109375
135.001,40,135,135,696.109375
136,35,136,136,696.109375
137,24,137,137,696.109375
138,23,138,138,696.109375
139.001,27,139,139,696.109375
140,33,140,140,696.109375
141.001,22,141,141,696.109375
142.001,39,142,142,696.109375
143.001,26,143,143,696.109375
144,28,144,144,696.109375
145.001,26,145,145,696.109375
146.001,27,146,146,696.109375
147,32,147,147,696.109375
148.001,36,148,148,696.109375
149.001,30,149,149,696.109375
150.001,28,150,150,696.109375
151.001,34,151,151,696.109375
152,23,152,152,696.109375
153,27,153,153,696.109375
154.001,28,154,154,696.109375
155,23,155,155,696.109375
156.001,30,156,156,695.721354166667
157.001,26,157,157,696.109375
158.001,25,158,158,696.109375
159.001,25,159,159,696.497395833333
160.001,34,160,160,696.109375
161.001,32,161,161,696.109375
162,38,162,162,696.109375
163.001,29,163,163,696.109375
164.001,31,164,164,696.109375
165,22,165,165,696.109375
166.001,27,166,166,696.109375
167.001,32,167,167,696.109375
168.001,24,168,168,696.109375
169.001,27,169,169,696.109375
170.001,25,170,170,696.109375
171.001,23,171,171,696.109375
172.001,23,172,172,696.109375
173.001,25,173,173,696.109375
174.001,17,174,174,696.109375
175,28,175,175,696.109375
176.001,20,176,176,696.109375
177.001,24,177,177,696.109375
178,26,178,178,696.109375
179,23,179,179,696.109375
180.001,18,180,180,696.109375
181.001,21,181,181,696.109375
182.001,29,182,182,695.721354166667
183,32,183,183,696.109375
184.001,19,184,184,696.109375
185.001,15,185,185,696.109375
186,29,186,186,696.109375
187.001,23,187,187,696.109375
188,38,188,188,696.109375
189.001,21,189,189,696.109375
190.001,20,190,190,696.109375
191.001,31,191,191,696.109375
192,19,192,192,696.109375
193,27,193,193,696.109375
194,27,194,194,696.109375
195,18,195,195,696.109375
196,28,196,196,696.109375
197.001,26,197,197,696.109375
198,22,198,198,695.721354166667
199.001,11,199,199,696.109375
200,27,200,200,696.109375
201,16,201,201,696.109375
202.001,24,202,202,696.109375
203.001,26,203,203,696.109375
204,17,204,204,696.109375
205,33,205,205,696.109375
206.001,19,206,206,696.109375
207,20,207,207,696.109375
208,21,208,208,696.109375
209.001,22,209,209,696.109375
210.001,25,210,210,696.109375
211.001,22,211,211,696.109375
212.001,15,212,212,696.109375
213,22,213,213,696.109375
214,19,214,214,696.109375
215.001,23,215,215,696.109375
216,21,216,216,696.109375
217.001,17,217,217,696.109375
218.001,20,218,218,696.109375
219.001,20,219,219,696.109375
220.001,16,220,220,696.109375
221.001,19,221,221,696.109375
222.001,17,222,222,696.109375
223.001,16,223,223,696.109375
224.001,19,224,224,696.109375
225.001,25,225,225,696.109375
226,24,226,226,696.109375
227.001,17,227,227,696.109375
228.001,15,228,228,695.721354166667
229.001,21,229,229,696.109375
230,24,230,230,696.109375
231,13,231,231,696.109375
232.001,17,232,232,696.109375
233,16,233,233,696.109375
234.001,11,234,234,696.109375
235.001,6,235,235,696.109375
236,18,236,236,695.721354166667
237,22,237,237,696.109375
238,21,238,238,696.109375
239.001,17,239,239,696.109375
240.001,22,240,240,696.109375
241.001,13,241,241,696.109375
242,16,242,242,696.109375
243,17,243,243,696.109375
244.001,15,244,244,695.721354166667
245.001,13,245,245,694.9453125
246,18,246,246,696.109375
247.001,13,247,247,696.109375
248.001,14,248,248,696.109375
249,24,249,249,696.109375
250.001,10,250,250,696.109375
251.001,13,251,251,696.109375
252,18,252,252,696.109375
253.001,12,253,253,696.109375
254,16,254,254,696.109375
255,8,255,255,696.109375
256,15,256,256,696.109375
257,13,257,257,696.109375
258,14,258,258,696.109375
259.001,16,259,259,696.109375
260,15,260,260,696.109375
261,18,261,261,696.109375
262,10,262,262,695.721354166667
263.001,9,263,263,696.109375
264.001,11,264,264,696.109375
265.001,12,265,265,696.109375
266,12,266,266,696.109375
267,16,267,267,696.109375
268.001,15,268,268,695.721354166667
269.001,15,269,269,696.109375
270,16,270,270,696.109375
271,10,271,271,696.109375
272.001,14,272,272,696.109375
273.001,8,273,273,696.109375
274,12,274,274,695.333333333333
275,23,275,275,696.109375
276.001,11,276,276,695.721354166667
277,10,277,277,696.109375
278,13,278,278,696.109375
279.001,12,279,279,696.109375
280.001,9,280,280,696.109375
281,11,281,281,696.109375
282.001,7,282,282,696.109375
282.999,13,283,283,696.109375
284.001,14,284,284,696.109375
285.001,15,285,285,696.109375
286,7,286,286,696.109375
287,17,287,287,696.109375
