Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,
207,22,207,207,696.109375,
208,21,208,208,696.109375,
209,15,209,209,696.109375,
210.001,19,210,210,695.721354166667,
211.001,24,211,211,696.109375,
212.001,9,212,212,696.109375,
213.001,25,213,213,696.109375,
214.001,20,214,214,696.109375,
215,14,215,215,696.109375,
216.001,25,216,216,696.109375,
217.001,16,217,217,696.109375,
218.001,14,218,218,696.109375,
219.001,30,219,219,696.109375,
220.001,10,220,220,696.109375,
221,11,221,221,696.109375,
222.001,16,222,222,696.109375,
223,14,223,223,695.721354166667,
224,18,224,224,696.109375,
225.001,20,225,225,696.109375,
226,19,226,226,696.109375,
227.001,18,227,227,696.109375,
228.001,17,228,228,696.109375,
229.001,12,229,229,696.109375,
230,16,230,230,696.109375,
231.001,14,231,231,696.109375,
232.001,16,232,232,696.109375,
233.001,11,233,233,696.109375,
234.001,17,234,234,696.109375,
235,25,235,235,696.109375,
236,21,236,236,695.721354166667,
237.001,16,237,237,695.721354166667,
238.001,12,238,238,696.109375,
239,15,239,239,696.109375,
240.001,12,240,240,696.109375,
241.001,15,241,241,696.109375,
242,12,242,242,696.109375,
243,14,243,243,696.109375,
244,11,244,244,696.109375,
245.001,11,245,245,696.109375,
246,17,246,246,696.109375,
247,18,247,247,696.109375,
248.001,15,248,248,696.109375,
249.001,12,249,249,696.109375,
250.001,14,250,250,696.109375,
251,20,251,251,696.109375,
252.001,8,252,252,696.109375,
253.001,11,253,253,696.109375,
254.001,16,254,254,696.109375,
255,14,255,255,696.109375,
256,19,256,256,696.109375,
257.001,12,257,257,696.109375,
258,13,258,258,696.109375,
259.001,16,259,259,696.109375,
260.001,10,260,260,696.109375,
261.001,14,261,261,694.9453125,
262,14,262,262,696.109375,
263.001,17,263,263,695.333333333333,
264.001,13,264,264,696.109375,
265.001,19,265,265,696.109375,
266,12,266,266,696.109375,
267.001,9,267,267,696.109375,
268.001,15,268,268,696.109375,
269,6,269,269,696.109375,
270,12,270,270,696.109375,
271,15,271,271,696.109375,
272,15,272,272,695.333333333333,
273,11,273,273,696.109375,
274,14,274,274,696.109375,
275.001,14,275,275,696.109375,
276.002,15,276,276,694.9453125,
277,8,277,277,695.721354166667,
278,11,278,278,696.109375,
279,16,279,279,696.109375,
280,20,280,280,696.109375,
281,14,281,281,696.109375,
282,10,282,282,696.109375,
283,8,283,283,696.109375,
284.001,15,284,284,696.109375,
285.001,9,285,285,696.109375,
286,10,286,286,696.109375,
287,10,287,287,695.721354166667,
288,5,288,288,696.109375,
289,12,289,289,696.109375,
290,10,290,290,694.9453125,
291,9,291,291,696.109375,
292.001,11,292,292,696.109375,
293.001,14,293,293,696.109375,
294.001,13,294,294,696.109375,
295,8,295,295,696.109375,
296,4,296,296,696.109375,
297.001,8,297,297,696.109375,
298.001,11,298,298,696.109375,
299.001,6,299,299,696.109375,
300,11,300,300,696.109375,
301.001,9,301,301,696.109375,
302.001,8,302,302,696.109375,
303.001,12,303,303,696.109375,
304,7,304,304,696.109375,
305.001,8,305,305,696.109375,
306,14,306,306,696.109375,
307.001,9,307,307,696.109375,
308,13,308,308,696.109375,
309,12,309,309,695.333333333333,
310.001,9,310,310,696.109375,
311,10,311,311,696.109375,
312.001,11,312,312,696.109375,
313.001,2,313,313,696.109375,
314.001,4,314,314,696.109375,
315,9,315,315,696.109375,
316.001,11,316,316,696.109375,
317.001,9,317,317,696.109375,
318.001,8,318,318,696.109375,
319,7,319,319,696.109375,
320.001,8,320,320,696.109375,
321.001,17,321,321,696.109375,
322.001,10,322,322,696.109375,
323.001,7,323,323,696.109375,
324.001,14,324,324,696.109375,
325,12,325,325,696.109375,
326,8,326,326,696.109375,
327,7,327,327,696.109375,
328,8,328,328,696.109375,
329.001,5,329,329,696.109375,
330,8,330,330,696.109375,
331.001,12,331,331,695.721354166667,
332.001,5,332,332,696.109375,
333.001,7,333,333,696.109375,
334.001,4,334,334,696.109375,
335,6,335,335,696.109375,
336,6,336,336,696.109375,
337.003,8,337,337,696.109375,
338.001,15,338,338,696.109375,
339.001,10,339,339,696.109375,
340.001,12,340,340,696.109375,
341,9,341,341,696.109375,
342.001,7,342,342,696.109375,
343.001,8,343,343,696.109375,
344.001,6,344,344,696.109375,
345.001,9,345,345,696.109375,
346.001,11,346,346,696.109375,
347,8,347,347,696.109375,
348.001,7,348,348,696.109375,
349.001,9,349,349,696.109375,
350.001,6,350,350,695.721354166667,
351.001,7,351,351,696.109375,
352.001,9,352,352,696.109375,
353.001,12,353,353,696.109375,
354,8,354,354,696.109375,
355,5,355,355,696.109375,
356,10,356,356,696.109375,
357.001,5,357,357,696.109375,
358.001,9,358,358,696.109375,
359,9,359,359,696.109375,
360.001,9,360,360,696.109375,
361.002,8,361,361,695.721354166667,
362.001,6,362,362,696.109375,
363.001,6,363,363,696.109375,
364,1,364,364,696.109375,
365,6,365,365,696.109375,
366,7,366,366,696.109375,
367.001,4,367,367,696.109375,
368,9,368,368,696.109375,
369.001,7,369,369,696.109375,
370.001,6,370,370,696.109375,
371,11,371,371,696.109375,
372.001,8,372,372,696.109375,
373,6,373,373,696.109375,
374,7,374,374,695.333333333333,
375.001,8,375,375,696.109375,
376,7,376,376,695.721354166667,
377,8,377,377,696.109375,
378,8,378,378,696.109375,
379,5,379,379,696.109375,
380.001,7,380,380,696.109375,
381.001,7,381,381,696.109375,
382.001,2,382,382,696.109375,
383.001,4,383,383,696.109375,
384,8,384,384,696.109375,
385.001,8,385,385,694.9453125,
386,4,386,386,696.109375,
387.001,5,387,387,696.109375,
388.001,8,388,388,696.109375,
389.001,7,389,389,696.109375,
390.001,9,390,390,696.109375,
391.001,4,391,391,696.109375,
392,5,392,392,696.109375,
393.001,4,393,393,696.109375,
394.001,5,394,394,696.109375,
395,5,395,395,696.109375,
396,1,396,396,696.109375,
397.001,9,397,397,696.109375,
398,4,398,398,696.109375,
399.001,12,399,399,696.109375,
400.001,9,400,400,696.109375,
401.001,4,401,401,696.109375,
402,7,402,402,696.109375,
403.001,7,403,403,696.109375,
404.001,5,404,404,696.109375,
405.001,1,405,405,696.109375,
406.001,9,406,406,696.109375,
407,4,407,407,696.109375,
408,1,408,408,696.109375,
409.001,9,409,409,696.109375,
410.001,2,410,410,696.109375,
411,4,411,411,696.109375,
412,7,412,412,696.109375,
413,7,413,413,696.109375,
414,12,414,414,696.109375,
415,6,415,415,695.721354166667,
416.001,5,416,416,694.9453125,
417.001,2,417,417,695.721354166667,
418.001,6,418,418,696.109375,
419.001,5,419,419,696.109375,
420,13,420,420,696.109375,
421,5,421,421,696.109375,
422,9,422,422,696.109375,
423.001,1,423,423,696.109375,
424.001,7,424,424,696.109375,
425,3,425,425,696.109375,
426.001,4,426,426,696.109375,
427,4,427,427,696.109375,
428,3,428,428,695.721354166667,
429,8,429,429,696.109375,
430.001,7,430,430,696.109375,
431,6,431,431,695.333333333333,
432.001,3,432,432,696.109375,
433,0,433,433,696.109375,
434.001,7,434,434,696.109375,
435.001,5,435,435,696.109375,
436,8,436,436,696.109375,
437.001,3,437,437,696.109375,
438,4,438,438,696.109375,
439,4,439,439,696.109375,
440.001,3,440,440,696.109375,
441.001,5,441,441,696.109375,
442,6,442,442,696.109375,
443,5,443,443,696.109375,
444.001,7,444,444,696.109375,
445.001,4,445,445,695.721354166667,
446.001,3,446,446,696.109375,
447.001,1,447,447,696.109375,
448.001,2,448,448,696.109375,
449,7,449,449,696.109375,
450,4,450,450,696.109375,
451.001,9,451,451,696.109375,
452.001,8,452,452,696.109375,
453.001,6,453,453,696.109375,
454.001,6,454,454,696.109375,
455.001,4,455,455,696.109375,
456.001,5,456,456,696.109375,
457,3,457,457,696.109375,
458,6,458,458,696.109375,
459.001,2,459,459,696.109375,
460.001,7,460,460,696.109375,
461.001,6,461,461,695.333333333333,
462.001,6,462,462,696.109375,
462.999,8,463,463,696.109375,
464,3,464,464,696.109375,
465.001,2,465,465,696.109375,
466.001,6,466,466,695.721354166667,
467,6,467,467,696.109375,
468,3,468,468,696.109375,
469.001,3,469,469,696.109375,
470.001,3,470,470,696.109375,
471,10,471,471,696.109375,
472,2,472,472,696.109375,
473.001,4,473,473,696.109375,
474,4,474,474,696.109375,
475.001,6,475,475,696.109375,
476.001,3,476,476,696.109375,
477,2,477,477,696.109375,
478,2,478,478,696.109375,
479.001,5,479,479,696.109375,
480,2,480,480,696.109375,
481,6,481,481,696.109375,
482.001,6,482,482,696.109375,
483,3,483,483,696.109375,
484,4,484,484,696.109375,
485.001,8,485,485,696.109375,
486,6,486,486,696.109375,
487.001,7,487,487,696.109375,
488.001,3,488,488,696.109375,
489,3,489,489,696.109375,
490,4,490,490,696.109375,
491.001,5,491,491,696.109375,
492,5,492,492,696.109375,
493.001,4,493,493,696.109375,
494,3,494,494,696.109375,
495,1,495,495,696.109375,
496.001,2,496,496,696.109375,
497.001,3,497,497,696.109375,
498.001,5,498,498,696.109375,
499,11,499,499,696.109375,
500.001,4,500,500,696.109375,
501.001,3,501,501,696.109375,
502,4,502,502,696.109375,
503,2,503,503,696.109375,
504.001,7,504,504,696.109375,
505,3,505,505,696.109375,
506,9,506,506,696.109375,
507.001,3,507,507,696.109375,
508,6,508,508,696.109375,
509.001,4,509,509,696.109375,
510,8,510,510,696.109375,
511,3,511,511,695.721354166667,
512.001,4,512,512,695.333333333333,
513,2,513,513,696.109375,
514,10,514,514,696.109375,
515,4,515,515,696.109375,
516.001,2,516,516,696.885416666667,
517.001,1,517,517,696.109375,
518.001,4,518,518,696.109375,
519,2,519,519,696.109375,
520,7,520,520,696.109375,
521.001,3,521,521,696.109375,
522,4,522,522,696.109375,
523,3,523,523,696.109375,
524,4,524,524,696.109375,
525.001,5,525,525,696.109375,
526.001,4,526,526,696.109375,
527.001,9,527,527,696.109375,
528.001,4,528,528,696.109375,
529.001,4,529,529,695.333333333333,
530.001,2,530,530,696.109375,
531.001,3,531,531,696.109375,
532,1,532,532,696.109375,
533,4,533,533,695.333333333333,
534,3,534,534,696.109375,
535,4,535,535,696.109375,
536,2,536,536,696.109375,
537.001,3,537,537,696.109375,
538.001,5,538,538,696.109375,
539,4,539,539,696.109375,
540,5,540,540,696.109375,
