Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
148.001,22,148,148,11.0096587736421,696.109375,0.0770676114154948
149,31,149,149,9.01359520564868,696.109375,0.0630951664395408
150.001,34,150,150,8.8776487991038,696.109375,0.0621435415937266
151.001,39,151,151,17.976842231837,696.109375,0.125837895622859
152,31,152,152,17.7729395886675,696.109375,0.124410577120673
153.001,26,153,153,19.0137887996375,696.109375,0.133096521597462
154.001,29,154,154,17.7756348262459,696.109375,0.124429443783722
155.001,21,155,155,11.9861200729555,696.109375,0.0839028405106886
156.001,19,156,156,13.0126209410507,696.109375,0.0910883465873551
157.001,20,157,157,14.0060590211325,696.109375,0.0980424131479278
158,23,158,158,14.0104700242491,696.109375,0.0980732901697439
159.001,27,159,159,11.0915271713023,696.109375,0.0776406901991162
160,24,160,160,11.0058308892051,696.109375,0.0770408162244357
161,34,161,161,6.66044950707678,696.109375,0.0466231465495375
162.001,23,162,162,13.3135981430193,696.109375,0.0931951870011353
163,34,163,163,9.99980444826857,696.109375,0.06999863113788
164.001,27,164,164,18.8710180348099,696.109375,0.132097126243669
165.001,16,165,165,17.0201689001467,696.109375,0.119141182301027
165.999,19,166,166,7.00049913558837,696.109375,0.0490034939491186
167.001,28,167,167,16.6564858523696,696.109375,0.116595400966587
168.001,16,168,168,9.99244682047559,696.109375,0.0699471277433291
169,32,169,169,12.9990835646087,696.109375,0.0909935849522609
170,21,170,170,12.0248071772066,696.109375,0.084173650240446
171.001,30,171,171,13.3154167004175,696.109375,0.0932079169029228
172.001,30,172,172,14.0032683628359,696.109375,0.0980228785398512
173,30,173,173,15.5525383631131,696.109375,0.108867768541792
174.001,32,174,174,17.0262135583945,696.109375,0.119183494908762
175,18,175,175,22.2192966814925,696.109375,0.155535076770447
176,19,176,176,12.2006176396308,696.109375,0.0854043234774156
177,31,177,177,11.1051106496567,696.109375,0.0777357745475972
178.001,20,178,178,19.9973425753644,696.109375,0.139981398027551
179.001,28,179,179,13.3090089013979,696.109375,0.0931630623097851
180,16,180,180,9.01434904080315,696.109375,0.063100443285622
181.001,15,181,181,12.0050757460254,696.109375,0.0840355302221779
182.001,30,182,182,16.6555333679176,696.109375,0.116588733575423
183,20,183,183,21.0101689217581,696.109375,0.147071182452307
184.001,20,184,184,13.3243497606281,696.109375,0.0932704483243964
185.001,18,185,185,12.0094322080562,696.109375,0.0840660254563934
186.001,26,186,186,16.647425941706,696.109375,0.116531981591942
187.001,21,187,187,18.8672188398725,696.109375,0.132070531879107
187.999,17,188,188,13.0244886435476,696.109375,0.0911714205048332
189,17,189,189,13.3301163319252,696.109375,0.0933108143234766
190.001,19,190,190,18.8819508209595,696.109375,0.132173655746716
191.001,14,191,191,12.2163095284105,696.109375,0.0855141666988733
192.001,23,192,192,13.987549682028,696.109375,0.0979128477741962
193,17,193,193,18.0294890322612,696.109375,0.126206423225828
194.001,21,194,194,9.99803705205878,696.109375,0.0699862593644115
195,28,195,195,14.4278444079062,696.109375,0.100994910855344
196,17,196,196,16.0341206086552,696.109375,0.112238844260587
197.001,24,197,197,15.5360388383215,696.109375,0.108752271868251
198.001,25,198,198,14.425202826674,696.109375,0.100976419786718
199,19,199,199,17.043927313866,696.109375,0.119307491197062
200.001,17,200,200,17.763326324961,696.109375,0.124343284274727
201,19,201,201,11.1011903473374,696.109375,0.0777083324313616
201.999,29,202,202,13.0074324469002,696.109375,0.0910520271283011
203.001,22,203,203,16.9918575018851,696.109375,0.118943002513196
204.001,20,204,204,19.9801308698572,696.109375,0.139860916089
205.001,19,205,205,23.325996011699,696.109375,0.163281972081893
206.001,30,206,206,10.0069668503212,696.109375,0.0700487679522483
207,19,207,207,15.02671900907,696.109375,0.10518703306349
