Time (s),Events N,Channel n,Energy E / keV,Rate R / 1/s,Angle
164,7,164,164,24.42248049,45
165,6,165,165,33.31282374,45
165.999,6,166,166,24.43591631,45
167,5,167,167,25.53406155,45
168.001,4,168,168,35.53088133,45
169.001,9,169,169,24.4345186,45
170.001,4,170,170,31.08885149,45
171,5,171,171,34.02341151,45
172.001,7,172,172,19.02189039,45
173.001,6,173,173,21.10843972,45
174.001,5,174,174,44.41511566,45
175,5,175,175,26.65866018,45
176.001,11,176,176,28.86672245,45
177.001,12,177,177,28.00551148,45
178.001,16,178,178,37.0042962,45
179.001,9,179,179,28.01128855,45
180.001,14,180,180,23.31161985,45
180.999,14,181,181,28.07059192,45
182,12,182,182,24.42857673,45
183.001,14,183,183,33.31396681,45
184,7,184,184,26.05725561,45
185,10,185,185,31.04073487,45
186.001,11,186,186,25.03313135,45
187.001,8,187,187,22.20831242,45
188,6,188,188,25.53673782,45
189.001,8,189,189,21.01338973,45
190,6,190,190,29.99006729,45
191.001,1,191,191,22.01416171,45
192.001,2,192,192,23.29009656,45
193.001,0,193,193,27.03546242,45
194,4,194,194,46.61110623,45
195.001,1,195,195,23.03233971,45
196,3,196,196,31.0552324,45
197.001,5,197,197,35.02351829,45
198.001,1,198,198,27.01566638,45
199,2,199,199,28.98962461,45
200,2,200,200,19.01268907,45
201,1,201,201,21.09715651,45
202.001,4,202,202,32.04948119,45
203,3,203,203,32.95030106,45
204,3,204,204,32.20084086,45
205,4,205,205,31.01751559,45
206.001,3,206,206,23.98247361,45
207,1,207,207,23.0145498,45
208.001,3,208,208,23.04237724,45
209.001,3,209,209,29.97443514,45
210,2,210,210,26.96999319,45
211.001,2,211,211,43.97064959,45
212.001,2,212,212,26.02229069,45
213.001,7,213,213,17.022935,45
214.001,1,214,214,41.06017824,45
215.001,2,215,215,30.03802213,45
216,0,216,216,25.52718918,45
217,3,217,217,27.75854111,45
218.001,3,218,218,29.03253676,45
219,3,219,219,22.98232889,45
220,1,220,220,35.53711574,45
221,2,221,221,32.03807084,45
222,0,222,222,22.96278651,45
223,4,223,223,33.10053294,45
224,1,224,224,31.04617631,45
225.001,1,225,225,15.9759833,45
226,6,226,226,31.02406537,45
227,1,227,227,26.9943177,45
228,2,228,228,32.02854384,45
229.001,0,229,229,33.30411822,45
230,1,230,230,28.05231757,45
231.001,5,231,231,28.87832905,45
232.001,1,232,232,27.73426887,45
233.001,0,233,233,30.98225646,45
234.001,1,234,234,24.01465374,45
235.001,0,235,235,29.99240192,45
236,3,236,236,30.99129764,45
237,1,237,237,33.99789553,45
238,1,238,238,25.02316394,45
239,1,239,239,31.0055779,45
240.001,1,240,240,34.43913316,45
241.001,2,241,241,22.0000682,45
242,2,242,242,21.00483111,45
243.001,2,243,243,27.7556935,45
244,3,244,244,34.42158851,45
245.001,2,245,245,36.06132589,45
246.001,0,246,246,33.29866942,45
247.001,3,247,247,13.31875078,45
248,1,248,248,27.01390406,45
249.001,0,249,249,21.01119687,45
250,1,250,250,27.9829388,45
251.001,1,251,251,34.98505089,45
252.001,0,252,252,30.08624221,45
253.001,3,253,253,39.93850801,45
254.001,2,254,254,29.96713604,45
255,2,255,255,22.21330481,45
256,0,256,256,39.0227776,45
257,3,257,257,35.55206355,45
258,1,258,258,29.99069622,45
259.001,5,259,259,26.03035921,45
260.001,2,260,260,27.72375957,45
261,1,261,261,27.0606646,45
262,0,262,262,28.8727907,45
263.001,1,263,263,28.83582137,45
264,4,264,264,21.03397829,45
265,0,265,265,28.86128147,45
266.001,5,266,266,24.43862805,45
267,1,267,267,25.03295589,45
268.001,5,268,268,22.17560663,45
269.001,6,269,269,24.44245103,45
270.001,1,270,270,24.01265947,45
271.001,0,271,271,29.0445718,45
272.001,1,272,272,32.18842795,45
273.001,3,273,273,22.1927798,45
274.001,1,274,274,28.9998173,45
275.001,1,275,275,27.77334022,45
276.001,2,276,276,33.04155637,45
276.999,1,277,277,27.77550944,45
278.001,1,278,278,36.99400697,45
279.001,0,279,279,35.54135481,45
280,0,280,280,31.00451426,45
281.001,2,281,281,18.02128314,45
282.001,1,282,282,28.88680262,45
283.001,1,283,283,28.84514363,45
284,0,284,284,34.99062251,45
285,0,285,285,30.02626097,45
286.001,1,286,286,23.32670077,45
287.001,0,287,287,33.03118474,45
288.001,3,288,288,16.6567263,45
289,1,289,289,27.00280289,45
290,1,290,290,33.30259134,45
291.001,1,291,291,31.02570169,45
292,0,292,292,43.28135243,45
293.001,0,293,293,32.06317407,45
294.001,0,294,294,31.0612957,45
295.001,1,295,295,26.00907196,45
296.001,1,296,296,21.02246671,45
297.001,1,297,297,32.99421611,45
298,0,298,298,27.01259327,45
299.001,0,299,299,32.18932116,45
300.001,0,300,300,31.08558294,45
301.001,0,301,301,39.05079337,45
302.001,0,302,302,35.96612351,45
303,1,303,303,32.02786424,45
304,0,304,304,25.02226231,45
305.001,0,305,305,38.84576146,45
306.001,0,306,306,34.42319768,45
307,3,307,307,33.32318827,45
308.001,1,308,308,34.08224386,45
309,0,309,309,22.98836559,45
310,0,310,310,22.17855265,45
311,2,311,311,32.00568101,45
312,0,312,312,20.02611205,45
313.001,2,313,313,36.63486353,45
314.001,0,314,314,34.00947164,45
315.001,4,315,315,25.54979266,45
315.999,1,316,316,31.10226079,45
317,3,317,317,21.08696419,45
318.001,2,318,318,28.00859304,45
319,2,319,319,32.0325643,45
320,0,320,320,28.96663912,45
321.001,1,321,321,39.96823325,45
322.001,2,322,322,37.99229896,45
323.001,1,323,323,20.01932065,45
324.001,2,324,324,25.98186725,45
325.001,2,325,325,31.02079013,45
326,1,326,326,27.01728566,45
327.001,0,327,327,35.53324068,45
328.001,1,328,328,24.42532213,45
329,0,329,329,28.01875015,45
330.001,0,330,330,26.9911469,45
331.001,0,331,331,25.53868867,45
332,1,332,332,37.06043074,45
333.001,0,333,333,36.98553126,45
334,0,334,334,27.97665348,45
335,0,335,335,18.00477126,45
336.001,0,336,336,23.31379378,45
337.001,0,337,337,38.06356616,45
338,1,338,338,42.1747756,45
339,0,339,339,35.04694187,45
340.001,0,340,340,18.8717261,45
341,0,341,341,25.9914722,45
342.001,0,342,342,33.01404748,45
343.001,0,343,343,35.52897593,45
344,0,344,344,27.0040398,45
345,0,345,345,81.10533149,45
