Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
,69,309,309,,,
,63,310,310,,,
,71,311,311,,,
,72,312,312,,,
,74,313,313,,,
,70,314,314,,,
,65,315,315,,,
,78,316,316,,,
,47,317,317,,,
,65,318,318,,,
,78,319,319,,,
,75,320,320,,,
,72,321,321,,,
,71,322,322,,,
,59,323,323,,,
,70,324,324,,,
,74,325,325,,,
,72,326,326,,,
,59,327,327,,,
,70,328,328,,,
,63,329,329,,,
,63,330,330,,,
,68,331,331,,,
,68,332,332,,,
,62,333,333,,,
,72,334,334,,,
,70,335,335,,,
,60,336,336,,,
,78,337,337,,,
,73,338,338,,,
,72,339,339,,,
,72,340,340,,,
,66,341,341,,,
,73,342,342,,,
,63,343,343,,,
,65,344,344,,,
,63,345,345,,,
,61,346,346,,,
,74,347,347,,,
,58,348,348,,,
,72,349,349,,,
,78,350,350,,,
,92,351,351,,,
,71,352,352,,,
,66,353,353,,,
,64,354,354,,,
,68,355,355,,,
,67,356,356,,,
,80,357,357,,,
,68,358,358,,,
,58,359,359,,,
,63,360,360,,,
,78,361,361,,,
,77,362,362,,,
,68,363,363,,,
,56,364,364,,,
,58,365,365,,,
,73,366,366,,,
,83,367,367,,,
,56,368,368,,,
,69,369,369,,,
,70,370,370,,,
,73,371,371,,,
,60,372,372,,,
,71,373,373,,,
,68,374,374,,,
,61,375,375,,,
,76,376,376,,,
,71,377,377,,,
,70,378,378,,,
,67,379,379,,,
,66,380,380,,,
,64,381,381,,,
,62,382,382,,,
,80,383,383,,,
,81,384,384,,,
,70,385,385,,,
,79,386,386,,,
,63,387,387,,,
,68,388,388,,,
,71,389,389,,,
,68,390,390,,,
,66,391,391,,,
,65,392,392,,,
,71,393,393,,,
,77,394,394,,,
,77,395,395,,,
,85,396,396,,,
,78,397,397,,,
,81,398,398,,,
,80,399,399,,,
,75,400,400,,,
,74,401,401,,,
,66,402,402,,,
,54,403,403,,,
,55,404,404,,,
,75,405,405,,,
,79,406,406,,,
,54,407,407,,,
,80,408,408,,,
,86,409,409,,,
,84,410,410,,,
,72,411,411,,,
,65,412,412,,,
,83,413,413,,,
,72,414,414,,,
,94,415,415,,,
,80,416,416,,,
,66,417,417,,,
,78,418,418,,,
,83,419,419,,,
,68,420,420,,,
,79,421,421,,,
,83,422,422,,,
,79,423,423,,,
,70,424,424,,,
,67,425,425,,,
,72,426,426,,,
,67,427,427,,,
,80,428,428,,,
,75,429,429,,,
,86,430,430,,,
,77,431,431,,,
,82,432,432,,,
,96,433,433,,,
